"","Rod.PR.CCA0","Rod.PR.CCA1","Bipolar.CCA2","Others.CCA3","MG.CCA4","Cone.PR.CCA5","Bipolar.CCA6","Bipolar.CCA7","Bipolar.CCA8","Amacrine.CCA9","Rod.PR.CCA10","Microglia.CCA11","RGC.CCA12"
"KCNAB2",0.0792896646276774,0.0926798322747561,0.182243736562412,0.0450801638561974,0.0617623294301126,0.083172805994748,0.137075396244138,0.0645463062933916,0.0866779104957865,0.761713677323613,0.0273950086294277,0.0433651089331536,0.656880319307936
"CHD5",0.0900033389281504,0.228186856796282,0.17055379479191,0.088786996773397,0.0114335498643584,0.0300207661702567,0.350581765159668,0.278056072368865,0.437190469702493,2.49817626235858,0.259051204892454,0.109953806670833,0.165549042046098
"RPL22",18.8513018313458,11.6260102415461,8.82795279624399,19.2170717705375,6.7819425884295,13.8626590309947,8.91002885677814,8.65030561971218,8.67952652431543,5.80779026486296,8.69654826005408,21.4962341401045,11.2163334950175
"RP1-120G22.11",0.400009723466839,0.187157202947542,0.00874508242768034,0.222674655900555,0.0170119862517251,0.177835166597425,0.0156986270110988,0.032113901083013,0.0422722608932949,0.0105210302358223,0.00936442697666666,0.0648407511152609,0
"RNF207",0.0252977857823661,0.0978255231485346,0.00457439409465563,0.0591602065952583,0.171597426713579,0.015841967059436,0.0623426788297954,0.0787333945925484,0.0134813041274361,0.0506917727114528,0.067493150888295,0,0
"ICMT",0.635853845324258,0.902319102037535,0.0810748227190553,0.348449636862007,0.135762306177509,0.562384210232751,0.148795871620907,0.129449726317649,0.260794268275791,0.205512334806065,1.09526263939351,0.0703410107866029,0.283736238792419
"LINC00337",0.0295196272693571,0.0357119321065838,0,0.0115061197538385,0,0.0299745074078789,0,0,0.00729292469617676,0.00519674891387948,0,0,0
"GPR153",0.00709934909349539,0.00293224847942049,0.00321876048108882,0.0127485271799992,0.0397534303238626,0,0.0101517501024473,0.0411035480582684,0,0.263580036283751,0.0273950086294277,0,0.014999272535282
"ACOT7",0.355217070246093,0.215471041140944,0.477203315378694,0.193727186376735,0.0302111059352321,0.404773851486762,1.02094143353344,0.440101792055887,0.932198034934867,1.04395478453332,0.155300157547663,0.231131759639922,2.22352366981018
"RP1-202O8.3",0.0199706438658719,0.0194870939441132,0.027547199558663,0.00229973504752518,0.0119590267167117,0.0628406342895828,0.0166929599127859,0,0.00693185158073944,0.0162581460438235,0,0.0246602799868808,0
"HES2",0.0435186540084395,0.0439556283684234,0.00690249803459935,0.0177163754966552,0.0111206217383142,0.150059098208714,0,0.0101038677605788,0.00721850709723618,0.00982967145306135,0,0,0
"ESPN",0.603851030231233,1.01508855577471,0.0868807753338319,2.18962007194218,2.02487481032631,0.614387495043154,0.114605573246123,0.115592058589836,0.19289030107645,0.109622579832504,0.827020837245266,0.0199381785886444,0.0542557882833874
"RP1-202O8.2",0.000327719305006981,0.00206124865882749,0,0,0,0,0,0,0,0,0,0,0
"TNFRSF25",0.0115516126741415,0.0408113798428874,0.018197799536266,0.0201105980074268,0.19888646025213,0.0140638401788941,0.0144730415923625,0,0,0.0964095913630941,0,0.0252674560219928,0
"PLEKHG5",0.00201875773737416,0.00482311854913767,0,0.0170448725393049,0.102935457291035,0.00757902032828479,0.0156223746670579,0,0,0.0385305897001689,0.0410332163886666,0.0503618369786645,0
"NOL9",0.0650997240486414,0.172391014333977,0.203171941451042,0.0836566314007236,0.0900999394699415,0.110026968793158,0.15098414842645,0.194212023672238,0.195561474585412,0.212800551125901,0.107558267514624,0.0131617047039933,0
"TAS1R1",0,0,0,0,0.0108133895967024,0,0,0,0,0,0,0,0
"ZBTB48",0.0806085571427017,0.079653031888338,0.0759107124966643,0.128851393443329,0.132862363459624,0.0567951121385071,0.0805690235587932,0.0790823482140669,0.120994167831336,0.0575551441530309,0.191551014248775,0.0275258821879472,0
"KLHL21",0.0229453888747141,0.0337349428454976,0.0251445644794681,0.0238777411219918,0.120864312289972,0.0342753443270332,0,0.0330444516969755,0.0457172116158291,0.0236462568852726,0,0.020355826112162,0
"PHF13",0.0594561417037373,0.0940674404351215,0.0867432351324809,0.0584095939446163,0.131936699818148,0.0724666810351397,0.076224162929344,0.072094015433276,0.0884970635838066,0.116802985938998,0.159849034632685,0.0374727139139089,0
"THAP3",0.15357287209688,0.173120504838136,0.256596113899524,0.127379157244633,0.190028676241975,0.127579905536766,0.323808951984089,0.237411525146982,0.216127538906096,0.216261103297286,0.0287406700599818,0.136412845596584,0.229148813314225
"DNAJC11",0.102501936110762,0.126625007525989,0.124514188771752,0.0900550489147274,0.0707155434439841,0.117336683397464,0.11238105312389,0.194022969087141,0.133117013563293,0.0732761682945234,0.0463399871695135,0.0152589462814601,0.184498440988174
"LINC01672",0.000168438612800223,0.00229416881298955,0,0,0,0,0,0,0,0,0,0,0
"RP11-312B8.1",0.00284109182813245,0.00266458081589373,0.0136371672043565,0.00811979622559392,0,0.00394288339119515,0.0314612859285968,0.0155714141393536,0.0189630270475328,0,0,0.00809517333385142,0.109086942293008
"CAMTA1",2.14477251064668,2.83835239669434,1.69549330873608,2.26915942913799,1.35874389320302,3.20250269420762,2.15638582500812,2.34053004051279,2.39238427408663,2.41130723707912,2.62306833096109,1.18895745868619,3.06224151752936
"RP4-549F15.1",0,0,0,0,0.0066057179094224,0,0,0,0.0111681430951839,0,0,0,0
